Chromosome;Type;Coord1;Coord2;Strand;ID;Name
chr14;miRNA_primary_transcript;101025564;101025651;+;MI0006656;hsa-mir-1197
chr3;miRNA_primary_transcript;75630763;75630858;+;MI0006657;hsa-mir-1324
chr15;miRNA_primary_transcript;96333261;96333307;+;MI0007074;hsa-mir-1469
chr19;miRNA_primary_transcript;15449548;15449608;+;MI0007075;hsa-mir-1470
chr2;miRNA_primary_transcript;231892242;231892298;-;MI0007076;hsa-mir-1471
chr1;miRNA_primary_transcript;235853000;235853060;-;MI0007258;hsa-mir-1537
chr16;miRNA_primary_transcript;69565808;69565868;-;MI0007259;hsa-mir-1538
chr18;miRNA_primary_transcript;49487373;49487422;+;MI0007260;hsa-mir-1539
chr5;miRNA_primary_transcript;168560904;168560965;+;MI0007261;hsa-mir-103b-1
chr20;miRNA_primary_transcript;3917502;3917563;-;MI0007262;hsa-mir-103b-2
chr13;miRNA_primary_transcript;40727828;40727875;-;MI0008190;hsa-mir-320d-1
chr18;miRNA_primary_transcript;24321686;24321735;+;MI0008191;hsa-mir-320c-2
chrX;miRNA_primary_transcript;140926172;140926219;-;MI0008192;hsa-mir-320d-2
chr20;miRNA_primary_transcript;32237795;32237847;+;MI0008193;hsa-mir-1825
chr12;miRNA_primary_transcript;100189884;100189949;+;MI0008195;hsa-mir-1827
chr11;miRNA_primary_transcript;61815161;61815240;-;MI0008329;hsa-mir-1908
chr19;miRNA_primary_transcript;1816159;1816238;-;MI0008330;hsa-mir-1909
chr16;miRNA_primary_transcript;85741621;85741700;-;MI0008331;hsa-mir-1910
chrX;miRNA_primary_transcript;114763184;114763263;+;MI0008332;hsa-mir-1911
chrX;miRNA_primary_transcript;114651544;114651623;+;MI0008333;hsa-mir-1912
chr6;miRNA_primary_transcript;166509354;166509433;-;MI0008334;hsa-mir-1913
chr20;miRNA_primary_transcript;63941465;63941544;-;MI0008335;hsa-mir-1914
chr10;miRNA_primary_transcript;21496562;21496641;-;MI0008336;hsa-mir-1915
chr16;miRNA_primary_transcript;15010321;15010397;-;MI0009982;hsa-mir-1972-1
chr4;miRNA_primary_transcript;116299725;116299768;+;MI0009983;hsa-mir-1973
chr1;miRNA_primary_transcript;26554542;26554593;+;MI0009986;hsa-mir-1976
chr8;miRNA_primary_transcript;74705693;74705747;+;MI0010486;hsa-mir-2052
chr8;miRNA_primary_transcript;112643493;112643583;+;MI0010487;hsa-mir-2053
chr4;miRNA_primary_transcript;125507259;125507307;+;MI0010488;hsa-mir-2054
chr10;miRNA_primary_transcript;114174105;114174179;-;MI0010629;hsa-mir-2110
chrX;miRNA_primary_transcript;150228004;150228083;+;MI0010633;hsa-mir-2114
chr3;miRNA_primary_transcript;48316360;48316459;-;MI0010634;hsa-mir-2115
chr15;miRNA_primary_transcript;59171183;59171262;-;MI0010635;hsa-mir-2116
chr17;miRNA_primary_transcript;43444806;43444885;+;MI0010636;hsa-mir-2117
chr10;miRNA_primary_transcript;12725254;12725353;-;MI0010637;hsa-mir-548q
chr13;miRNA_primary_transcript;24162416;24162504;+;MI0011282;hsa-mir-2276
chr5;miRNA_primary_transcript;93620696;93620788;-;MI0011284;hsa-mir-2277
chr9;miRNA_primary_transcript;94809962;94810057;+;MI0011285;hsa-mir-2278
chr13;miRNA_primary_transcript;101967642;101967746;-;MI0012062;hsa-mir-2681
chr1;miRNA_primary_transcript;98045242;98045351;-;MI0012063;hsa-mir-2682
chr3;miRNA_primary_transcript;48578902;48578977;-;MI0012488;hsa-mir-711
chrX;miRNA_primary_transcript;154019920;154019989;-;MI0012489;hsa-mir-718
chr9;miRNA_primary_transcript;127785918;127786007;+;MI0013006;hsa-mir-2861
chr17;miRNA_primary_transcript;37033745;37033813;+;MI0013083;hsa-mir-2909
chr1;miRNA_primary_transcript;23044305;23044372;+;MI0014127;hsa-mir-3115
chr1;miRNA_primary_transcript;62078786;62078859;+;MI0014128;hsa-mir-3116-1
chr1;miRNA_primary_transcript;62078789;62078856;-;MI0014129;hsa-mir-3116-2
chr1;miRNA_primary_transcript;66628440;66628517;+;MI0014130;hsa-mir-3117
chr21;miRNA_primary_transcript;13644775;13644850;-;MI0014131;hsa-mir-3118-1
chr15;miRNA_primary_transcript;20832795;20832869;+;MI0014132;hsa-mir-3118-2
chr15;miRNA_primary_transcript;21406385;21406459;+;MI0014133;hsa-mir-3118-3
chr1;miRNA_primary_transcript;170151378;170151462;-;MI0014134;hsa-mir-3119-1
chr1;miRNA_primary_transcript;170151378;170151462;+;MI0014135;hsa-mir-3119-2
chr1;miRNA_primary_transcript;172138808;172138888;+;MI0014136;hsa-mir-3120
chr1;miRNA_primary_transcript;180438314;180438390;-;MI0014137;hsa-mir-3121
chr1;miRNA_primary_transcript;212077613;212077685;+;MI0014138;hsa-mir-3122
chr1;miRNA_primary_transcript;241132272;241132346;+;MI0014139;hsa-mir-3123
chr1;miRNA_primary_transcript;248826377;248826443;+;MI0014140;hsa-mir-3124
chr2;miRNA_primary_transcript;11767444;11767525;+;MI0014141;hsa-mir-548s
chr2;miRNA_primary_transcript;12737367;12737444;+;MI0014142;hsa-mir-3125
chr2;miRNA_primary_transcript;69103682;69103755;+;MI0014143;hsa-mir-3126
chr2;miRNA_primary_transcript;96798278;96798353;+;MI0014144;hsa-mir-3127
chr2;miRNA_primary_transcript;177255945;177256010;-;MI0014145;hsa-mir-3128
chr2;miRNA_primary_transcript;189133036;189133111;-;MI0014146;hsa-mir-3129
chr2;miRNA_primary_transcript;206783234;206783308;-;MI0014147;hsa-mir-3130-1
chr2;miRNA_primary_transcript;206783234;206783308;+;MI0014148;hsa-mir-3130-2
chr2;miRNA_primary_transcript;219058688;219058750;-;MI0014151;hsa-mir-3131
chr2;miRNA_primary_transcript;219549073;219549147;-;MI0014152;hsa-mir-3132
chr2;miRNA_primary_transcript;241477905;241477982;+;MI0014153;hsa-mir-3133
chr3;miRNA_primary_transcript;10330229;10330285;+;MI0014154;hsa-mir-378b
chr3;miRNA_primary_transcript;15697298;15697371;-;MI0014155;hsa-mir-3134
chr3;miRNA_primary_transcript;20137565;20137641;+;MI0014156;hsa-mir-3135a
chr3;miRNA_primary_transcript;31161704;31161787;-;MI0014157;hsa-mir-466
chr3;miRNA_primary_transcript;69048958;69049035;-;MI0014158;hsa-mir-3136
chr3;miRNA_primary_transcript;124732439;124732516;+;MI0014159;hsa-mir-544b
chr3;miRNA_primary_transcript;195134506;195134580;-;MI0014160;hsa-mir-3137
chr4;miRNA_primary_transcript;10078611;10078692;-;MI0014161;hsa-mir-3138
chr4;miRNA_primary_transcript;143343460;143343535;+;MI0014162;hsa-mir-3139
chr4;miRNA_primary_transcript;152489327;152489416;-;MI0014163;hsa-mir-3140
chr4;miRNA_primary_transcript;173268160;173268233;+;MI0014164;hsa-mir-548t
chr5;miRNA_primary_transcript;154596012;154596072;-;MI0014165;hsa-mir-3141
chr5;miRNA_primary_transcript;160474402;160474483;+;MI0014166;hsa-mir-3142
chr6;miRNA_primary_transcript;27147626;27147688;+;MI0014167;hsa-mir-3143
chr6;miRNA_primary_transcript;57390132;57390212;+;MI0014168;hsa-mir-548u
chr6;miRNA_primary_transcript;120015179;120015257;+;MI0014169;hsa-mir-3144
chr6;miRNA_primary_transcript;138435213;138435294;-;MI0014170;hsa-mir-3145
chr6;miRNA_primary_transcript;154853360;154853436;+;MI0014171;hsa-mir-1273c
chr7;miRNA_primary_transcript;19705358;19705436;-;MI0014172;hsa-mir-3146
chr7;miRNA_primary_transcript;57405025;57405090;+;MI0014173;hsa-mir-3147
chr8;miRNA_primary_transcript;17681578;17681657;-;MI0014174;hsa-mir-548v
chr8;miRNA_primary_transcript;29957272;29957348;-;MI0014175;hsa-mir-3148
chr8;miRNA_primary_transcript;76966768;76966850;-;MI0014176;hsa-mir-3149
chr8;miRNA_primary_transcript;95072914;95072993;+;MI0014177;hsa-mir-3150a
chr8;miRNA_primary_transcript;103154614;103154689;+;MI0014178;hsa-mir-3151
chr9;miRNA_primary_transcript;18573306;18573379;+;MI0014179;hsa-mir-3152
chr9;miRNA_primary_transcript;89312225;89312306;+;MI0014180;hsa-mir-3153
chr9;miRNA_primary_transcript;95086014;95086094;-;MI0014181;hsa-mir-3074
chr9;miRNA_primary_transcript;128244947;128245030;-;MI0014182;hsa-mir-3154
chr10;miRNA_primary_transcript;6152196;6152277;+;MI0014183;hsa-mir-3155a
chr10;miRNA_primary_transcript;45164014;45164088;+;MI0014184;hsa-mir-3156-1
chr10;miRNA_primary_transcript;96064315;96064399;-;MI0014185;hsa-mir-3157
chr10;miRNA_primary_transcript;101601417;101601497;+;MI0014186;hsa-mir-3158-1
chr10;miRNA_primary_transcript;101601417;101601497;-;MI0014187;hsa-mir-3158-2
chr11;miRNA_primary_transcript;18387787;18387860;+;MI0014188;hsa-mir-3159
chr11;miRNA_primary_transcript;46451805;46451889;-;MI0014189;hsa-mir-3160-1
chr11;miRNA_primary_transcript;46451807;46451887;+;MI0014190;hsa-mir-3160-2
chr11;miRNA_primary_transcript;48096782;48096858;+;MI0014191;hsa-mir-3161
chr11;miRNA_primary_transcript;59595077;59595158;-;MI0014192;hsa-mir-3162
chr11;miRNA_primary_transcript;66934434;66934506;-;MI0014193;hsa-mir-3163
chr11;miRNA_primary_transcript;69083176;69083258;+;MI0014194;hsa-mir-3164
chr11;miRNA_primary_transcript;72072228;72072302;-;MI0014195;hsa-mir-3165
chr11;miRNA_primary_transcript;88176502;88176593;+;MI0014196;hsa-mir-3166
chr11;miRNA_primary_transcript;96341438;96341526;+;MI0014197;hsa-mir-1260b
chr11;miRNA_primary_transcript;126988458;126988542;-;MI0014198;hsa-mir-3167
chr13;miRNA_primary_transcript;41101019;41101100;-;MI0014199;hsa-mir-3168
chr13;miRNA_primary_transcript;61199798;61199880;-;MI0014200;hsa-mir-3169
chr13;miRNA_primary_transcript;98208524;98208600;+;MI0014201;hsa-mir-3170
chr14;miRNA_primary_transcript;27633205;27633278;-;MI0014202;hsa-mir-3171
chr14;miRNA_primary_transcript;95137919;95137986;-;MI0014204;hsa-mir-3173
chr14;miRNA_primary_transcript;101030052;101030129;+;MI0014205;hsa-mir-1193
chr14;miRNA_primary_transcript;101056219;101056300;+;MI0014206;hsa-mir-323b
chr15;miRNA_primary_transcript;21843750;21843824;+;MI0014207;hsa-mir-3118-4
chr15;miRNA_primary_transcript;90006755;90006841;+;MI0014208;hsa-mir-3174
chr15;miRNA_primary_transcript;92904399;92904475;+;MI0014209;hsa-mir-3175
chr16;miRNA_primary_transcript;543277;543366;+;MI0014210;hsa-mir-3176
chr16;miRNA_primary_transcript;1734985;1735066;+;MI0014211;hsa-mir-3177
chr16;miRNA_primary_transcript;2531922;2532005;-;MI0014212;hsa-mir-3178
chr16;miRNA_primary_transcript;14901508;14901591;+;MI0014213;hsa-mir-3179-1
chr16;miRNA_primary_transcript;14911220;14911313;+;MI0014214;hsa-mir-3180-1
chr16;miRNA_primary_transcript;16309879;16309966;+;MI0014215;hsa-mir-3180-2
chr16;miRNA_primary_transcript;16300159;16300242;+;MI0014216;hsa-mir-3179-2
chr16;miRNA_primary_transcript;18402178;18402271;-;MI0014217;hsa-mir-3180-3
chr16;miRNA_primary_transcript;18411894;18411977;-;MI0014221;hsa-mir-3179-3
chr16;miRNA_primary_transcript;26025237;26025310;+;MI0014222;hsa-mir-548w
chr16;miRNA_primary_transcript;50742305;50742377;+;MI0014223;hsa-mir-3181
chr16;miRNA_primary_transcript;83508346;83508408;+;MI0014224;hsa-mir-3182
chr17;miRNA_primary_transcript;1022476;1022559;-;MI0014225;hsa-mir-3183
chr17;miRNA_primary_transcript;30117086;30117160;-;MI0014226;hsa-mir-3184
chr17;miRNA_primary_transcript;48724408;48724475;-;MI0014227;hsa-mir-3185
chr17;miRNA_primary_transcript;81125877;81125955;+;MI0014228;hsa-mir-3065
chr17;miRNA_primary_transcript;81451104;81451188;-;MI0014229;hsa-mir-3186
chr18;miRNA_primary_transcript;14830166;14830242;+;MI0014230;hsa-mir-3156-2
chr19;miRNA_primary_transcript;813584;813653;+;MI0014231;hsa-mir-3187
chr19;miRNA_primary_transcript;18282077;18282161;+;MI0014232;hsa-mir-3188
chr19;miRNA_primary_transcript;18386562;18386634;+;MI0014233;hsa-mir-3189
chr19;miRNA_primary_transcript;46709293;46709345;-;MI0014234;hsa-mir-320e
chr19;miRNA_primary_transcript;47226942;47227021;+;MI0014235;hsa-mir-3190
chr19;miRNA_primary_transcript;47226944;47227019;-;MI0014236;hsa-mir-3191
chr20;miRNA_primary_transcript;18470615;18470691;+;MI0014237;hsa-mir-3192
chr20;miRNA_primary_transcript;31607186;31607240;+;MI0014238;hsa-mir-3193
chr20;miRNA_primary_transcript;51452905;51452977;-;MI0014239;hsa-mir-3194
chr20;miRNA_primary_transcript;62064802;62064885;+;MI0014240;hsa-mir-3195
chr20;miRNA_primary_transcript;63238779;63238842;+;MI0014241;hsa-mir-3196
chr21;miRNA_primary_transcript;13406384;13406460;-;MI0014242;hsa-mir-3156-3
chr21;miRNA_primary_transcript;18686090;18686164;-;MI0014244;hsa-mir-548x
chr21;miRNA_primary_transcript;41167557;41167629;+;MI0014245;hsa-mir-3197
chr22;miRNA_primary_transcript;17764180;17764259;-;MI0014246;hsa-mir-3198-1
chr22;miRNA_primary_transcript;27920525;27920612;-;MI0014247;hsa-mir-3199-1
chr22;miRNA_primary_transcript;27920526;27920611;+;MI0014248;hsa-mir-3199-2
chr22;miRNA_primary_transcript;30731557;30731641;+;MI0014249;hsa-mir-3200
chr22;miRNA_primary_transcript;48274364;48274415;+;MI0014250;hsa-mir-3201
chrX;miRNA_primary_transcript;147250151;147250230;-;MI0014251;hsa-mir-514b
chrX;miRNA_primary_transcript;153981097;153981177;+;MI0014252;hsa-mir-3202-1
chrX;miRNA_primary_transcript;153981098;153981176;-;MI0014253;hsa-mir-3202-2
chr1;miRNA_primary_transcript;10227718;10227803;+;MI0014254;hsa-mir-1273d
chr10;miRNA_primary_transcript;112634170;112634254;+;MI0015822;hsa-mir-4295
chr10;miRNA_primary_transcript;125032783;125032870;-;MI0015823;hsa-mir-4296
chr10;miRNA_primary_transcript;129843299;129843374;-;MI0015824;hsa-mir-4297
chr10;miRNA_primary_transcript;130962588;130962668;-;MI0015825;hsa-mir-378c
chr10;miRNA_primary_transcript;14383200;14383277;-;MI0015826;hsa-mir-4293
chr10;miRNA_primary_transcript;48985512;48985587;-;MI0015827;hsa-mir-4294
chr11;miRNA_primary_transcript;113450023;113450088;-;MI0015828;hsa-mir-4301
chr11;miRNA_primary_transcript;11656651;11656722;-;MI0015829;hsa-mir-4299
chr11;miRNA_primary_transcript;1859464;1859536;-;MI0015830;hsa-mir-4298
chr11;miRNA_primary_transcript;81890741;81890836;-;MI0015831;hsa-mir-4300
chr12;miRNA_primary_transcript;123010667;123010728;-;MI0015832;hsa-mir-4304
chr12;miRNA_primary_transcript;25874020;25874079;-;MI0015833;hsa-mir-4302
chr12;miRNA_primary_transcript;97995383;97995448;-;MI0015834;hsa-mir-4303
chr13;miRNA_primary_transcript;39664034;39664135;-;MI0015835;hsa-mir-4305
chr13;miRNA_primary_transcript;99643059;99643149;+;MI0015836;hsa-mir-4306
chr14;miRNA_primary_transcript;102539644;102539726;+;MI0015837;hsa-mir-4309
chr14;miRNA_primary_transcript;26908642;26908725;+;MI0015838;hsa-mir-4307
chr14;miRNA_primary_transcript;54878113;54878193;-;MI0015839;hsa-mir-4308
chr15;miRNA_primary_transcript;41866495;41866551;-;MI0015840;hsa-mir-4310
chr15;miRNA_primary_transcript;66040233;66040332;+;MI0015841;hsa-mir-4311
chr15;miRNA_primary_transcript;68801850;68801925;-;MI0015842;hsa-mir-4312
chr15;miRNA_primary_transcript;75762215;75762315;-;MI0015843;hsa-mir-4313
chr17;miRNA_primary_transcript;45475363;45475435;-;MI0015844;hsa-mir-4315-1
chr17;miRNA_primary_transcript;77396984;77397054;-;MI0015845;hsa-mir-4316
chr17;miRNA_primary_transcript;8088056;8088147;+;MI0015846;hsa-mir-4314
chr18;miRNA_primary_transcript;37657135;37657215;+;MI0015847;hsa-mir-4318
chr18;miRNA_primary_transcript;44970082;44970166;-;MI0015848;hsa-mir-4319
chr18;miRNA_primary_transcript;50126499;50126563;-;MI0015849;hsa-mir-4320
chr18;miRNA_primary_transcript;6374361;6374425;-;MI0015850;hsa-mir-4317
chr19;miRNA_primary_transcript;10230413;10230485;+;MI0015851;hsa-mir-4322
chr19;miRNA_primary_transcript;2250639;2250718;+;MI0015852;hsa-mir-4321
chr19;miRNA_primary_transcript;42133445;42133513;-;MI0015853;hsa-mir-4323
chr19;miRNA_primary_transcript;49308797;49308868;-;MI0015854;hsa-mir-4324
chr1;miRNA_primary_transcript;112461770;112461833;-;MI0015855;hsa-mir-4256
chr1;miRNA_primary_transcript;150551929;150552014;+;MI0015856;hsa-mir-4257
chr1;miRNA_primary_transcript;154975693;154975783;+;MI0015857;hsa-mir-4258
chr1;miRNA_primary_transcript;159899979;159900079;-;MI0015858;hsa-mir-4259
chr1;miRNA_primary_transcript;209623444;209623510;-;MI0015859;hsa-mir-4260
chr1;miRNA_primary_transcript;22863159;22863226;-;MI0015860;hsa-mir-4253
chr1;miRNA_primary_transcript;3127975;3128035;+;MI0015861;hsa-mir-4251
chr1;miRNA_primary_transcript;31758660;31758735;-;MI0015862;hsa-mir-4254
chr1;miRNA_primary_transcript;37161563;37161634;+;MI0015863;hsa-mir-4255
chr1;miRNA_primary_transcript;6429834;6429896;-;MI0015864;hsa-mir-4252
chr20;miRNA_primary_transcript;57321502;57321591;-;MI0015865;hsa-mir-4325
chr20;miRNA_primary_transcript;63286808;63286866;+;MI0015866;hsa-mir-4326
chr21;miRNA_primary_transcript;30375294;30375378;-;MI0015867;hsa-mir-4327
chr2;miRNA_primary_transcript;10192614;10192671;-;MI0015868;hsa-mir-4261
chr2;miRNA_primary_transcript;109141490;109141588;-;MI0015869;hsa-mir-4265
chr2;miRNA_primary_transcript;109313571;109313625;-;MI0015870;hsa-mir-4266
chr2;miRNA_primary_transcript;110069961;110070042;-;MI0015871;hsa-mir-4267
chr2;miRNA_primary_transcript;11836933;11836986;-;MI0015872;hsa-mir-4262
chr2;miRNA_primary_transcript;207109987;207110073;-;MI0015873;hsa-mir-2355
chr2;miRNA_primary_transcript;219906502;219906565;-;MI0015874;hsa-mir-4268
chr2;miRNA_primary_transcript;239305462;239305545;+;MI0015875;hsa-mir-4269
chr2;miRNA_primary_transcript;27996367;27996449;+;MI0015876;hsa-mir-4263
chr2;miRNA_primary_transcript;79649294;79649359;-;MI0015877;hsa-mir-4264
chr3;miRNA_primary_transcript;15496239;15496308;-;MI0015878;hsa-mir-4270
chr3;miRNA_primary_transcript;49274120;49274186;+;MI0015879;hsa-mir-4271
chr3;miRNA_primary_transcript;67225464;67225527;+;MI0015880;hsa-mir-4272
chr3;miRNA_primary_transcript;75738280;75738363;+;MI0015881;hsa-mir-4273
chr4;miRNA_primary_transcript;174423795;174423864;+;MI0015882;hsa-mir-4276
chr4;miRNA_primary_transcript;28819582;28819668;+;MI0015883;hsa-mir-4275
chr4;miRNA_primary_transcript;7460028;7460118;+;MI0015884;hsa-mir-4274
chr5;miRNA_primary_transcript;176629439;176629500;-;MI0015885;hsa-mir-4281
chr5;miRNA_primary_transcript;1708785;1708868;-;MI0015886;hsa-mir-4277
chr5;miRNA_primary_transcript;31936102;31936159;-;MI0015887;hsa-mir-4279
chr5;miRNA_primary_transcript;6827853;6827921;-;MI0015888;hsa-mir-4278
chr5;miRNA_primary_transcript;87114879;87114954;-;MI0015889;hsa-mir-4280
chr6;miRNA_primary_transcript;72967687;72967753;-;MI0015890;hsa-mir-4282
chr7;miRNA_primary_transcript;102293103;102293187;+;MI0015891;hsa-mir-4285
chr7;miRNA_primary_transcript;56955785;56955864;-;MI0015892;hsa-mir-4283-1
chr7;miRNA_primary_transcript;73711317;73711397;+;MI0015893;hsa-mir-4284
chr8;miRNA_primary_transcript;10666978;10667070;+;MI0015894;hsa-mir-4286
chr8;miRNA_primary_transcript;27886039;27886116;-;MI0015895;hsa-mir-4287
chr8;miRNA_primary_transcript;28505116;28505182;-;MI0015896;hsa-mir-4288
chr9;miRNA_primary_transcript;136830957;136831023;+;MI0015897;hsa-mir-4292
chr9;miRNA_primary_transcript;88745836;88745905;-;MI0015898;hsa-mir-4289
chr9;miRNA_primary_transcript;90023441;90023535;-;MI0015899;hsa-mir-4290
chr9;miRNA_primary_transcript;93819357;93819421;+;MI0015900;hsa-mir-4291
chrX;miRNA_primary_transcript;112780718;112780788;-;MI0015901;hsa-mir-4329
chrX;miRNA_primary_transcript;151168222;151168326;+;MI0015902;hsa-mir-4330
chrX;miRNA_primary_transcript;50010672;50010750;+;MI0015903;hsa-mir-500b
chrX;miRNA_primary_transcript;78901194;78901249;-;MI0015904;hsa-mir-4328
chrX;miRNA_primary_transcript;155383100;155383198;-;MI0015971;hsa-mir-1184-2
chrX;miRNA_primary_transcript;155457517;155457615;+;MI0015972;hsa-mir-1184-3
chr15;miRNA_primary_transcript;34528290;34528371;-;MI0015973;hsa-mir-1233-2
chr5;miRNA_primary_transcript;118974586;118974670;+;MI0015974;hsa-mir-1244-2
chr12;miRNA_primary_transcript;9239467;9239551;-;MI0015975;hsa-mir-1244-3
chr16;miRNA_primary_transcript;70030346;70030422;+;MI0015977;hsa-mir-1972-2
chr9;miRNA_primary_transcript;30144;30281;+;MI0015978;hsa-mir-1302-9
chr15;miRNA_primary_transcript;101960459;101960596;-;MI0015979;hsa-mir-1302-10
chr19;miRNA_primary_transcript;71973;72110;+;MI0015980;hsa-mir-1302-11
chr7;miRNA_primary_transcript;63621090;63621169;+;MI0015982;hsa-mir-4283-2
chr17;miRNA_primary_transcript;64822030;64822102;-;MI0015983;hsa-mir-4315-2
chr1;miRNA_primary_transcript;33332393;33332492;-;MI0015995;hsa-mir-3605
chr2;miRNA_primary_transcript;188995630;188995692;+;MI0015996;hsa-mir-3606
chr5;miRNA_primary_transcript;86620497;86620575;+;MI0015997;hsa-mir-3607
chr7;miRNA_primary_transcript;98881650;98881729;+;MI0015999;hsa-mir-3609
chr8;miRNA_primary_transcript;116874728;116874800;-;MI0016000;hsa-mir-3610
chr10;miRNA_primary_transcript;35079598;35079680;-;MI0016001;hsa-mir-3611
chr12;miRNA_primary_transcript;128294092;128294178;+;MI0016002;hsa-mir-3612
chr13;miRNA_primary_transcript;49996415;49996501;-;MI0016003;hsa-mir-3613
chr17;miRNA_primary_transcript;56891270;56891355;-;MI0016004;hsa-mir-3614
chr17;miRNA_primary_transcript;74748613;74748699;+;MI0016005;hsa-mir-3615
chr20;miRNA_primary_transcript;47166967;47167058;+;MI0016006;hsa-mir-3616
chr20;miRNA_primary_transcript;45705102;45705180;-;MI0016007;hsa-mir-3617
chr22;miRNA_primary_transcript;20085746;20085833;+;MI0016008;hsa-mir-3618
chr22;miRNA_primary_transcript;46091044;46091126;+;MI0016009;hsa-mir-3619
chrX;miRNA_primary_transcript;20017088;20017187;-;MI0016010;hsa-mir-23c
chr1;miRNA_primary_transcript;228097263;228097341;+;MI0016011;hsa-mir-3620
chr9;miRNA_primary_transcript;137169186;137169270;-;MI0016012;hsa-mir-3621
chr8;miRNA_primary_transcript;27701677;27701759;+;MI0016013;hsa-mir-3622a
chr8;miRNA_primary_transcript;27701673;27701767;-;MI0016014;hsa-mir-3622b
chr20;miRNA_primary_transcript;44408120;44408203;+;MI0016046;hsa-mir-3646
chr21;miRNA_primary_transcript;8208473;8208652;+;MI0016048;hsa-mir-3648-1
chr12;miRNA_primary_transcript;1660315;1660380;-;MI0016049;hsa-mir-3649
chr5;miRNA_primary_transcript;38557502;38557561;-;MI0016050;hsa-mir-3650
chr9;miRNA_primary_transcript;92292458;92292547;-;MI0016051;hsa-mir-3651
chr12;miRNA_primary_transcript;103930425;103930555;+;MI0016052;hsa-mir-3652
chr22;miRNA_primary_transcript;29333158;29333267;-;MI0016053;hsa-mir-3653
chr7;miRNA_primary_transcript;133034860;133034915;-;MI0016054;hsa-mir-3654
chr5;miRNA_primary_transcript;140647844;140647926;+;MI0016055;hsa-mir-3655
chr11;miRNA_primary_transcript;119018944;119019012;+;MI0016056;hsa-mir-3656
chr12;miRNA_primary_transcript;112037599;112037715;-;MI0016057;hsa-mir-3657
chr1;miRNA_primary_transcript;165907921;165907976;+;MI0016058;hsa-mir-3658
chr17;miRNA_primary_transcript;64425069;64425170;-;MI0016059;hsa-mir-1273e
chr1;miRNA_primary_transcript;38089231;38089329;+;MI0016060;hsa-mir-3659
chr5;miRNA_primary_transcript;90016621;90016720;-;MI0016061;hsa-mir-3660
chr5;miRNA_primary_transcript;134225757;134225852;+;MI0016062;hsa-mir-3661
chr6;miRNA_primary_transcript;134979338;134979432;-;MI0016063;hsa-mir-3662
chr10;miRNA_primary_transcript;117167678;117167774;-;MI0016064;hsa-mir-3663
chr11;miRNA_primary_transcript;70872270;70872368;-;MI0016065;hsa-mir-3664
chr13;miRNA_primary_transcript;77698012;77698116;-;MI0016066;hsa-mir-3665
chr7;miRNA_primary_transcript;114653345;114653455;+;MI0016067;hsa-mir-3666
chr22;miRNA_primary_transcript;49543393;49543466;-;MI0016068;hsa-mir-3667
chr6;miRNA_primary_transcript;140205252;140205326;+;MI0016069;hsa-mir-3668
chr16;miRNA_primary_transcript;14907717;14907781;+;MI0016071;hsa-mir-3670-1
chr1;miRNA_primary_transcript;65057755;65057842;-;MI0016072;hsa-mir-3671
chrX;miRNA_primary_transcript;121370972;121371053;+;MI0016073;hsa-mir-3672
chr8;miRNA_primary_transcript;1801125;1801192;+;MI0016075;hsa-mir-3674
chr1;miRNA_primary_transcript;16858949;16859021;-;MI0016076;hsa-mir-3675
chr16;miRNA_primary_transcript;2270713;2270772;+;MI0016078;hsa-mir-3677
chr17;miRNA_primary_transcript;75406069;75406162;+;MI0016079;hsa-mir-3678
chr2;miRNA_primary_transcript;134127125;134127192;+;MI0016080;hsa-mir-3679
chr16;miRNA_primary_transcript;21506049;21506135;-;MI0016081;hsa-mir-3680-1
chr2;miRNA_primary_transcript;12199130;12199201;+;MI0016082;hsa-mir-3681
chr2;miRNA_primary_transcript;53849122;53849205;-;MI0016083;hsa-mir-3682
chr7;miRNA_primary_transcript;7066964;7067045;-;MI0016084;hsa-mir-3683
chr4;miRNA_primary_transcript;98997387;98997460;+;MI0016085;hsa-mir-3684
chr12;miRNA_primary_transcript;95309923;95309984;+;MI0016086;hsa-mir-3685
chr8;miRNA_primary_transcript;129484057;129484142;-;MI0016087;hsa-mir-3686
chr21;miRNA_primary_transcript;8208844;8208904;+;MI0016088;hsa-mir-3687-1
chr4;miRNA_primary_transcript;159128802;159128894;-;MI0016089;hsa-mir-3688-1
chr9;miRNA_primary_transcript;134849487;134849564;-;MI0016090;hsa-mir-3689a
chrX;miRNA_primary_transcript;1293918;1293992;+;MI0016091;hsa-mir-3690-1
chr6;miRNA_primary_transcript;5148233;5148322;-;MI0016092;hsa-mir-3691
chr6;miRNA_primary_transcript;157529132;157529200;+;MI0016093;hsa-mir-3692
chr15;miRNA_primary_transcript;76586647;76586691;+;MI0016134;hsa-mir-3713
chr3;miRNA_primary_transcript;16933196;16933260;+;MI0016135;hsa-mir-3714
chr16;miRNA_primary_transcript;15154850;15155002;-;MI0016408;hsa-mir-3180-4
chr16;miRNA_primary_transcript;2135977;2136129;-;MI0016409;hsa-mir-3180-5
chr7;miRNA_primary_transcript;151433489;151433639;-;MI0016410;hsa-mir-3907
chr9;miRNA_primary_transcript;134850125;134850272;-;MI0016411;hsa-mir-3689b
chr12;miRNA_primary_transcript;123536409;123536534;+;MI0016412;hsa-mir-3908
chr22;miRNA_primary_transcript;35335640;35335758;+;MI0016413;hsa-mir-3909
